temp, pressure, humidity
223.14,1016,79
280.14,1026,73
273.14,999,83
263.14,1095,70
223.14,1016,79
280.14,1026,73
273.14,999,83
263.14,1095,70
273,70,1000
273,70,1000
273,70,1000
273,70,1000
273,70,1000
273,70,1000
273,70,1000
273,80,1021
273,80,1021
273,80,1021
223.14,1016,79
280.14,1026,73
273.14,999,83
263.14,1095,70
223.14,1016,79
280.14,1026,73
273.14,999,83
263.14,1095,70
223.14,1016,79
280.14,1026,73
273.14,999,83
263.14,1095,70
223.14,1016,79
280.14,1026,73
273.14,999,83
263.14,1095,70
223.14,1016,79
280.14,1026,73
273.14,999,83
263.14,1095,70
223.14,1016,79
280.14,1026,73
273.14,999,83
263.14,1095,70
223.14,1016,79
280.14,1026,73
273.14,999,83
263.14,1095,70
223.14,1016,79
280.14,1026,73
273.14,999,83
263.14,1095,70
223.14,1016,79
280.14,1026,73
273.14,999,83
263.14,1095,70
223.14,1016,79
280.14,1026,73
273.14,999,83
263.14,1095,70
223.14,1016,79
280.14,1026,73
273.14,999,83
263.14,1095,70
223.14,1016,79
280.14,1026,73
273.14,999,83
263.14,1095,70